url_path,views_total,views_unique
/ErnakovichLab/metagenomic_methods_ernakovich_lab,37,8
/ErnakovichLab/metagenomic_methods_ernakovich_lab/tree/main/data_QC,33,5
/ErnakovichLab/metagenomic_methods_ernakovich_lab/tree/main/read_based,24,5
/ErnakovichLab/metagenomic_methods_ernakovich_lab/tree/main,19,2
/ErnakovichLab/metagenomic_methods_ernakovich_lab/blob/main/metagenomic_methods_ernakovich_lab.yml,16,2
/ErnakovichLab/metagenomic_methods_ernakovich_lab/tree/main/.github/workflows,16,2
/ErnakovichLab/metagenomic_methods_ernakovich_lab/tree/main/assembly_based,14,4
/ErnakovichLab/metagenomic_methods_ernakovich_lab/blob/main/data_QC/01_run_fastqc_commands.slurm,14,2
/ErnakovichLab/metagenomic_methods_ernakovich_lab/blob/main/README.md,13,2
/ErnakovichLab/metagenomic_methods_ernakovich_lab/blob/main/installation_notes.txt,11,2
