url_path,views_total,views_unique
/ErnakovichLab/metagenomic_methods_ernakovich_lab/tree/main/data_QC,34,6
/ErnakovichLab/metagenomic_methods_ernakovich_lab,30,11
/ErnakovichLab/metagenomic_methods_ernakovich_lab/blob/main/README.md,24,1
/ErnakovichLab/metagenomic_methods_ernakovich_lab/tree/main/read_based,23,6
/ErnakovichLab/metagenomic_methods_ernakovich_lab/blob/main/data_QC/01_run_fastqc_commands.slurm,22,1
/ErnakovichLab/metagenomic_methods_ernakovich_lab/blob/main/data_QC/01a_create_fastqc_commands.sh,20,1
/ErnakovichLab/metagenomic_methods_ernakovich_lab/tree/main/.github/workflows,14,2
/ErnakovichLab/metagenomic_methods_ernakovich_lab/tree/main/assembly_based,12,4
/ErnakovichLab/metagenomic_methods_ernakovich_lab/blob/main/metagenomic_methods_ernakovich_lab.yml,12,2
/ErnakovichLab/metagenomic_methods_ernakovich_lab/blob/main/data_QC/03a_create_cutadapt_transposase_commands.sh,9,1
