url_path,views_total,views_unique
/ErnakovichLab/metagenomic_methods_ernakovich_lab/blob/main/README.md,17,1
/ErnakovichLab/metagenomic_methods_ernakovich_lab/blob/main/data_QC/01a_create_fastqc_commands.sh,14,1
/ErnakovichLab/metagenomic_methods_ernakovich_lab,11,6
/ErnakovichLab/metagenomic_methods_ernakovich_lab/blob/main/data_QC/01_run_fastqc_commands.slurm,10,1
/ErnakovichLab/metagenomic_methods_ernakovich_lab/blob/main/data_QC/03a_create_cutadapt_transposase_commands.sh,9,1
/ErnakovichLab/metagenomic_methods_ernakovich_lab/tree/main/data_QC,8,2
/ErnakovichLab/metagenomic_methods_ernakovich_lab/blob/main/data_QC/03_run_cutadapt_commands.sh,6,1
/ErnakovichLab/metagenomic_methods_ernakovich_lab/blob/main/installation_notes.txt,5,2
/ErnakovichLab/metagenomic_methods_ernakovich_lab/tree/main/assembly_based,5,2
/ErnakovichLab/metagenomic_methods_ernakovich_lab/blob/main/assembly_based/readme.md,4,2
