url_path,views_total,views_unique
/ErnakovichLab/metagenomic_methods_ernakovich_lab/blob/main/README.md,11,1
/ErnakovichLab/metagenomic_methods_ernakovich_lab/blob/main/data_QC/03a_create_cutadapt_transposase_commands.sh,9,1
/ErnakovichLab/metagenomic_methods_ernakovich_lab/tree/main/data_QC,6,2
/ErnakovichLab/metagenomic_methods_ernakovich_lab/blob/main/data_QC/03_run_cutadapt_commands.sh,6,1
/ErnakovichLab/metagenomic_methods_ernakovich_lab,4,3
/ErnakovichLab/metagenomic_methods_ernakovich_lab/blob/main/metagenomic_methods_ernakovich_lab.yml,3,1
/ErnakovichLab/metagenomic_methods_ernakovich_lab/tree/main/assembly_based,3,1
/ErnakovichLab/metagenomic_methods_ernakovich_lab/tree/main/read_based,3,1
/ErnakovichLab/metagenomic_methods_ernakovich_lab/blame/main/data_QC/03a_create_cutadapt_transposase_commands.sh,2,1
/ErnakovichLab/metagenomic_methods_ernakovich_lab/blob/main/assembly_based/readme.md,2,1
